model,task,metric,layer,init,n_seeds,pre_mean,rnd_mean,mean,delta,ci_lo,ci_hi,q_value,per_seed_delta
olmo2_13b,P6_noise_level,balanced_accuracy,p25,pretrained_minus_random,3,0.4859,0.4514,0.4859,0.0345,0.0151,0.0458,,s7:+0.046;s17:+0.043;s27:+0.015
olmo2_13b,P6_noise_level,macro_f1,p25,pretrained_minus_random,3,0.4811,0.4462,0.4811,0.0349,0.0131,0.0485,,s7:+0.043;s17:+0.048;s27:+0.013
olmo2_13b,P7_anomaly_present,balanced_accuracy,p25,pretrained_minus_random,3,0.7461,0.6471,0.7461,0.099,0.0859,0.1094,,s7:+0.102;s17:+0.086;s27:+0.109
olmo2_13b,P7_anomaly_present,macro_f1,p25,pretrained_minus_random,3,0.744,0.642,0.744,0.102,0.0898,0.1117,,s7:+0.105;s17:+0.090;s27:+0.112
olmo2_13b,P8_anomaly_location,balanced_accuracy,p25,pretrained_minus_random,3,0.2666,0.1692,0.2666,0.0974,0.0897,0.1026,,s7:+0.100;s17:+0.090;s27:+0.103
olmo2_13b,P8_anomaly_location,macro_f1,p25,pretrained_minus_random,3,0.2616,0.1691,0.2616,0.0925,0.0828,0.0994,,s7:+0.099;s17:+0.083;s27:+0.095
olmo2_13b,P9_changepoint_present,balanced_accuracy,p25,pretrained_minus_random,3,0.9831,0.9701,0.9831,0.013,0.0039,0.0195,,s7:+0.020;s17:+0.016;s27:+0.004
olmo2_13b,P9_changepoint_present,macro_f1,p25,pretrained_minus_random,3,0.9831,0.97,0.9831,0.013,0.0039,0.0196,,s7:+0.020;s17:+0.016;s27:+0.004
olmo2_13b,P10_changepoint_location,balanced_accuracy,p50,pretrained_minus_random,3,0.3678,0.3528,0.3678,0.015,-0.008,0.0422,,s7:+0.042;s17:+0.011;s27:-0.008
olmo2_13b,P10_changepoint_location,macro_f1,p50,pretrained_minus_random,3,0.3584,0.3339,0.3584,0.0245,0.0157,0.041,,s7:+0.041;s17:+0.016;s27:+0.017
olmo2_13b,P1_trend_direction,balanced_accuracy,p50,pretrained_minus_random,3,1.0,1.0,1.0,0.0,0.0,0.0,,s7:+0.000;s17:+0.000;s27:+0.000
olmo2_13b,P1_trend_direction,macro_f1,p50,pretrained_minus_random,3,1.0,1.0,1.0,0.0,0.0,0.0,,s7:+0.000;s17:+0.000;s27:+0.000
